model,mse,rmse,mae,r2
LinearRegression,555648097.1703944,23572.189061909256,16740.4485945814,0.8976289104938069
RandomForest,490643534.37979674,22150.474811610624,16006.839091871298,0.9096051737972094
GradientBoosting,409347385.46572083,20232.335146139725,15281.487230793495,0.9245829544813742
